ordem,bloco,quem,organizacao,nome,texto
44,PRIMEIRO,Candidato,PDT,Ciro Gomes,"O desastre da educação brasileira é medido pelos indicadores de avaliação. Se nós estabelecermos o PISA, que é de avaliação internacional, o que de fato nos recomenda aprofundar o debate. Deixa eu ver, motivar o professor, retreinar o professor para que ele passe a fazer essa pedagogia emancipadora, que a garotada possa ir para escola interessada em dominar as tecnologias digitais e pensar fora da caixinha do decoreba. Ensinar o mesmo conteúdo de pontos de vista diferentes, para estimular a autonomia intelectual. Isso já vi funcionando e nós estamos experimentando isso com extraordinário êxito no Ceará. Só para você ter uma ideia, Felipe, 60 de cada 100 alunos do ensino médio do Ceará já estão em tempo integral. Boa parte, profissionalizante. Saem dali com estágio remunerado os seis primeiros meses pelo governo, e mais de 93% ficam retidos pelas empresas porque nós fazemos essa aposta. E essa é uma experiência que eu quero generalizar para todo o Brasil. Mas, meu irmão, me permita cumprimentando, nós precisamos entender que sem remuneração decente, sem financiamento decente isso tudo não vai acontecer. O piso salarial do magistério brasileiro, comparado com o mundo, é de encher de vergonha. Viva o magistério brasileiro que consegue dar aula um mês inteiro, sem material, sem equipamento, numa lousa com giz, sabe, ganhando R$ 3.500. Alguns estados, muitos municípios sequer estão pagando o piso salarial. Qualificar a gestão das escolas também é um elemento essencial. Muitos lugares do Brasil não há padrão de avaliação, a gestão escolar é indicação de político, de vereador. Isso tem que ser uma carreira de estado, como nós fazemos no Ceará. Todos os dirigentes de escola são capacitados, treinados, concursados, que se percebe inclusive dotes de liderança para, além de gestão, contabilidade, essas coisas todas, envolver as famílias. Acompanhar aluno a aluno para que ele não perca a idade escolar certa na capacitação. Isto é o que vai mudar o Brasil. E em qualquer circunstância não haverá essa mudança de qualidade na educação se não com esses números. O PT, por exemplo, se gaba, o Lula acabou de falar aí, o Presidente Lula, de bilhões, de milhões de crianças e adolescentes, de estudantes que foram para o ensino universitário, é verdade. O Brasil tem hoje 18, de cada 100 garotos de 18 a 25 anos, no ensino superior. A Colômbia tem 42. E quando nós vamos olhar que tipo de escola passaram no governo do PT, do Lula, R$ 40 bilhões para empresários privados. Deixando um garoto endividado no começo da vida com uma conta de R$ 110 mil a R$ 150 mil no FIES. Isso é uma coisa absolutamente chocante, isso não é educação."
45,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,A próxima perguntar é a candidata Soraya Thronicke.
46,PRIMEIRO,Candidato,UNIÃO,Soraya Thronicke,"Eu escolho a candidata Simone Tebet. Candidata, enquanto os profissionais da saúde enfrentavam corajosamente o Coronavírus, muitos pacientes que precisavam de procedimentos eletivos, como é o caso de uma cirurgia de catarata ou um procedimento ortopédico, tiveram seus atendimentos cancelados ou adiados. O que é que pode ser feito para diminuir a fila por consultas, exames e cirurgias no SUS?"
47,PRIMEIRO,Candidato,MDB,Simone Tebet,"Obrigada, candidata Soraya, pela pergunta. Afinal, é uma das questões mais importantes hoje do Brasil. Saúde pública. Nós acabamos de sair de uma pandemia, se é que saímos dela, uma pandemia que podia ter sido muito melhor gerida se nós tivéssemos um Presidente da República sensível à dor alheia. Lamentavelmente, no momento que o Brasil mais precisou do Presidente da República, ele virou as costas para a dor das famílias enlutadas brasileiras. E negou vacina no braço do povo brasileiro. Eu sei porque eu estava lá na CPI. Eu estudei os documentos. Atrasos de 45 dias na compra de vacina. Quantas famílias perderam prematuramente seus filhos? Quantas mães perderam filhos e quantos filhos perderam pais? E eu não vi o Presidente da República pegar a moto dele e entrar em um hospital para dar um abraço a uma mãe que perdeu um filho. Eu vi mais do que isso, eu vi um escândalo de corrupção na compra de vacinas como se a vida pudesse custar um dólar. Nesse aspecto, Soraya, a pandemia se arrastou porque não teve coordenação do Governo Federal. Não é porque ficamos em casa. É porque se tivesse tido coordenação do Governo Federal, nós teríamos uma pandemia melhor resolvida, já estaríamos todos trabalhando. E com isso, a sua pergunta é extremamente importante. Nós ficamos com atraso na realização de exames, cirurgias e consultas. Só tem um jeito. Decretou-se calamidade pública para tudo, para gastar, para fazer orçamento secreto, para colocar dinheiro público no bolso da classe política, colocando dinheiro onde nós nem sabemos se chegou. Então, a sequela da pandemia é o atraso desses exames. O que nós vamos fazer, Soraya? Nós vamos decretar calamidade pública e estado de emergência apenas para isso, para que possamos criar um crédito extraordinário, e com isso colocarmos dinheiro fundo a fundo para os municípios e para os estados. Cada exame, cada consulta, cada cirurgia atrasada que eles executarem vai ser imediatamente pago, para que a população brasileira não possa morrer prematuramente das doenças, da sequela da pandemia da Covid-19."
48,PRIMEIRO,Candidato,UNIÃO,Soraya Thronicke,"Candidata, realmente o SUS sempre foi um orgulho para todos nós brasileiros, no caso da vacinação. Confesso que, no atendimento, ele é muito mais bonito no papel do que na realidade. E quem conta isso é o usuário do SUS. Quem tem que nos dizer se o SUS é bom ou não, não somos nós que não utilizamos esse serviço. Quem tem que dizer é quem está lá na fila. Temos um projeto liberal, de verdade, para a Economia, para executar, não é no gogó. Não é no gogó. E é por isso que para diminuir todas as filas para exames, para cirurgias, para consultas, nós iremos usar toda a capacidade da iniciativa privada para complementar o SUS, e, com isso, agilizar o atendimento das pessoas; e, realmente, é uma catástrofe o que o Brasil vive. Eu, Soraya, ando nas ruas e o que eu vejo nas ruas é desalento. O meu telefone não para de tocar pedindo: ""Senadora""."
49,PRIMEIRO,Candidato,MDB,Simone Tebet,"Nós concordamos, candidata Soraya, e gostaria até de dar um depoimento e fazer um pedido aos candidatos à Presidência da República. Eu peguei um carro, daqui de São Paulo, e fui a Barretos para poder assinar um documento no Hospital do Amor, do Câncer, de Barretos, que é um dos hospitais mais importantes na cura contra o câncer no Brasil. O que eu vi lá é de dar inveja ao mundo. Mas eles fizeram uma súplica. Eu fui a primeira a assinar um documento que, se eleita Presidente da República, vou atualizar a tabela SUS: 25%, por ano; até 100%, nos quatro anos. Sabe por quê? Porque, hoje, as Santas Casas e as filantrópicas atendem a 60% das cirurgias e das médias e altas complexidades, ou seja, dos casos mais complicados de saúde da população pobre. Sabe o que eu ouvi de lá, dos médicos especialistas? ""Senadora Simone, as pessoas morrem prematuramente"". Pobre morre? Até 25% dos pobres morrem no Brasil porque não têm acesso a porta do SUS para tratamento preventivo do câncer. Porque nós não conseguimos atender, porque a tabela SUS está defasada. Eu fui a primeira. Eu conclamo os demais candidatos a Presidente da República que assinem esse compromisso pela vida: 25%. Vamos tirar do orçamento secreto. Vamos tirar dos desperdícios, vamos reduzir a máquina, mas vamos dar dignidade da saúde a quem mais precisa. Porque esse Brasil é de todos. Ele não pode ser mais do rico do que do pobre. O rico não pode ter atendimento de saúde privada de excelência enquanto o pobre morre nas filas dos hospitais."
50,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Obrigada, candidata. O próximo a perguntar agora é o candidato Lula, que deve dirigir a pergunta para o candidato Felipe D'Ávila ou para Soraya Thronicke. Para quem vai?"
51,PRIMEIRO,Candidato,PT,Luiz Inácio Lula da Silva,Eu vou dirigir ao Felipe D'Ávila.
52,PRIMEIRO,Imprensa,Band,Adriana Araújo,Por favor.
53,PRIMEIRO,Candidato,PT,Luiz Inácio Lula da Silva,"Candidato, o mundo hoje vive discutindo a questão climática. Ou os governantes tomam noção de que é da responsabilidade de cada governante cuidar do seu país para que todos cuidando do seu, cuidem do planeta, ou a gente vai destruir o planeta, que é nossa terra. Eu queria que o senhor me desse sua opinião sobre o que está acontecendo no Brasil. Ou seja, o Brasil rompeu o acordo que tinha com a Alemanha e com a Noruega, o Brasil faz discurso todo santo dia de que é preciso desmatar, que é preciso queimar, que é preciso plantar? Ou seja, e não há nenhum cuidado com a questão ambiental. Ou seja, qual é a sua proposta para resolver a questão ambiental?"
54,PRIMEIRO,Candidato,NOVO,Felipe D'Avila,"Bom, candidato Lula, a retomada do crescimento econômico do Brasil depende de uma política ambiental que faça o Brasil ser a primeira nação carbono zero entre as grandes potências econômicas. Isso está no nosso plano de Governo. Esta é a maior oportunidade que o Brasil tem para sequestrar carbono. O Brasil tem potencial para sequestrar 50% do carbono do mundo, plantando árvores em terra degradada. Nós temos 50 milhões de hectares de terra degradadas, dá para plantar árvores em três milhões de hectares, isso vai gerar renda para pessoas mais pobres, isso vai gerar progresso em outras regiões do Brasil. Vai ajudar também a impulsionar a energia renovável no Brasil. O Brasil já tem a matriz mais limpa de energia e precisa continuar expandindo. E nós vamos criar o ""Emprego Verde"", porque este emprego de serviços ambientais, da bioeconomia, é a maior fonte para atrair investimento externo para o Brasil. Investimento fundamental para a retomada do crescimento econômico, da geração de emprego e renda. Portanto, o meio ambiente precisa ser tratado com seriedade, como a maior oportunidade que o Brasil tem para recuperar o seu crescimento econômico, atrair investimento. E mais, ajuda ao agro brasileiro. Porque o agro brasileiro é o que mais sofre quando se desmata no Brasil, porque vem retaliação lá de fora, dizendo que não vai comprar soja do Brasil, ou carne do Brasil, porque vem de área desmatada. O que é mentira. O agronegócio brasileiro é o mais sustentável do mundo. Nenhum outro país do mundo planta soja no cerrado e mantém 35% de reserva legal. Nenhum outro país do mundo colhe uma tonelada de cacau, no Norte, e mantém 80% de reserva legal. Portanto, nós não podemos desperdiçar esta enorme oportunidade que o Brasil tem para atrair investimento, renda e emprego, e se transformar no primeiro país carbono zero do mundo."
55,PRIMEIRO,Candidato,PT,Luiz Inácio Lula da Silva,"Olha, nenhum empresário sério, que conhece a questão da relação comercial do mundo, vai fazer queimada ou vai destruir os biomas brasileiros, seja o Pantanal, seja a Amazônia, seja a caatinga, não vai. Entretanto, nós temos gente do governo que até incentiva. Nós tivemos ministro que dizia ""deixa a boiada passar"". Bom, o que eu quero, na verdade, é o seguinte: eu tive o prazer de ser Presidente da República e participar da COP-15, em Copenhagen. Em Copenhagen, o Brasil assumiu um compromisso, que depois foi referendado em Paris, em que a gente reduziu o desmatamento em 80% e que a gente iria diminuir a emissão de gás de efeito estufa em 36.9%. E o Brasil passou a ser referência no mundo inteiro, todo mundo conversava com o Brasil, e hoje as pessoas têm o Brasil como um país que não leva a sério e ninguém respeita as decisões do Brasil."
56,PRIMEIRO,Candidato,NOVO,Felipe D'Avila,"É verdade, Lula, mas só que mudou muito a questão do meio ambiente. Meio ambiente nós vamos resolver com mais mercado. Existem hoje US$ 50 trilhões no mundo que vai investir em país que respeita o meio ambiente, a questão da governança e a questão social. E o PT me dá sempre a impressão de que não gosta do mercado, empresário é latifundiário; não é isso, nós temos que olhar o mercado com juízo. O mercado vai ajudar o Brasil a resolver a questão do meio ambiente, vai trazer investimento privado! Nós temos de acabar com essa dicotomia que preservar o Brasil é manter o atraso; não! Preservar significa exatamente o oposto: atrair investimento, renda e emprego com o dinheiro privado. Não tem mais essa dicotomia que, para preservar o meio ambiente, nós temos que simplesmente não fazer nada na terra; não, nós temos que saber usar isto a nosso favor. Eu tenho certeza absoluta que o Brasil vai ser um exemplo em ser este país que vai capturar 50% do carbono do mundo, dar uma lição para o mundo, e isso vai ser fundamental para recuperar a credibilidade internacional do Brasil. O Brasil jamais vai voltar a ser um país confiável nas relações internacionais se continuar tratando o meio ambiente com o descaso que vem acontecendo nos últimos anos. É uma pena, porque nós temos essa potência do desenvolvimento regional. Veja só como é importante o desenvolvimento sustentável para gerar receita no Nordeste, com as energias renováveis, com eólica, solar, biomassa, a fronteira agrícola crescendo de forma sustentável. Esse é o Brasil que dá certo, é o Brasil do agronegócio. É o único setor da economia capaz de competir no comércio internacional. Nós temos que usar o exemplo do agro para poder crescer e expandir o nosso mercado. O agro é o único setor da economia brasileira que não tem medo da concorrência internacional."
57,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,"A última a perguntar nessa rodada é a candidata Simone Tebet, a pergunta a ser feita à Senadora Soraya Thronicke."
58,PRIMEIRO,Candidato,MDB,Simone Tebet,"Candidata Soraya, eu não tenho como professora não fazer pergunta sobre educação. Eu gostaria de perguntar à senhora sabe o quanto esta questão é cara para mim. Dei aula, 12 anos, de Direito Administrativo, de como é que se administra um Estado e um país, e tive o privilégio de tê-la como uma excelente aluna. Mas, infelizmente, educação nunca foi prioridade no país. Educação nunca foi colocado como um projeto nacional, de Estado, e não de governo. É por isso que os indicadores da educação estão nesse patamar há mais de 30 anos. Mas nunca a educação esteve tão estampada nas páginas policiais. Não é só descaso, é corrupção, é superfaturamento de ônibus escolares, é fotografia, na Bíblia, de um ministro, com dinheiro público, para participar de eleição. Então, a pergunta é: diante de tudo isso, como fazer para resolver o problema da educação e garantir dignidade para as nossas crianças e para os nossos jovens?"
59,PRIMEIRO,Candidato,UNIÃO,Soraya Thronicke,"Obrigada, candidata, pela pergunta. É um assunto que também me é caro. Poucas pessoas sabem, mas eu fui professora de inglês por muito tempo, então eu sei o que é que é uma sala de aula também. E como a senhora bem disse, a senhora foi minha professora, nós sabemos a importância da educação, e por isso a nossa primeira proposta, e revolucionária, é isentar... escutem bem, escutem bem, isentar de imposto de renda todos os professores. Todos os professores, tanto do ensino público quanto privado. Isso não é conto de fadas, isso é verdade, isso já foi estudado, o impacto é apenas de 10 bi por ano. Eu sei disso, isso é possível fazer, principalmente por conta do financiamento que o Imposto Único Federal vai proporcionar. Mas, além dessa valorização, que é a primeira coisa: a valorização de você, professor, que está ali na ponta e que é tão desvalorizado, começa por aí. E aí nós temos inúmeras propostas, propostas de... em relação ao analfabetismo funcional, a criação de metodologias autodidáticas; isso é muito importante para que as pessoas consigam, complementariamente ao professor, aprender sozinhas. Mas uma coisa que eu quero deixar aqui muito claro e que muito me preocupa: durante a pandemia, nós tivemos nossas crianças fora da escola, e o governo não conseguiu fazer um programa que resolvesse isso. Simples seria se ele utilizasse o mesmo método que utilizou o Presidente de Portugal, Marcelo Rebelo. Marcelo Rebelo é professor também, e ele foi para a TV estatal. Ele foi para a TV estatal dar aulas, e contratou os melhores professores do país para dar aula na TV aberta para os alunos. E aí nós temos a nossa EBC, que passou todo esse tempo fazendo campanha para o atual Presidente da República. Isso é grave, isso é sério em um governo que prometeu privatizar. Portanto, dentre tantas, e tantas, e tantas propostas nossas, que é, inclusive, incluir a iniciativa privada dentro do nosso sistema para conseguir resolver o problema... o que falta na educação pública, nós incluiremos também a capacidade da iniciativa privada para nos ajudar, porque, no Brasil, contrariamente ao que disse o ex-presidente Lula, atual candidato, nós gastamos muito, gastamos como primeiro mundo na educação e entregamos uma educação de quinta categoria. Isso tem que acabar."
60,PRIMEIRO,Candidato,MDB,Simone Tebet,"Sem dúvida, candidata Soraya, valorização do professor é fundamental, cuidar de quem cuida. Mas é mais do que isso. Ensinar o professor não apenas o que educar e ensinar, mas como educar e ensinar. Nós vamos atacar o problema desde a primeira infância. Vamos acabar com as mais de duas mil creches que estão paralisadas há muitos anos. E dinheiro tem do Fundeb, que nós dobramos e tá fora do teto. Vamos colocar todas as crianças de quatro a cinco dentro das nossas... do ensino infantil. Mas vamos atacar o maior problema que é o ensino médio. O ensino médio técnico profissionalizante sai do papel pra que os nossos jovens possam entrar no mercado de trabalho imediatamente. E pra isso, pra que eles não virem nem-nem, nem estudo nem trabalho, nós vamos colocar um poupança jovem. O nosso jovem vai ganhar dinheiro todo ano, e no final do terceiro ano do ensino médio, vai ganhar R$ 5.000 pra fazer o que ele quiser, dar uma entrada numa moto ou num celular, mas pra que ele não saia. Porque a educação vai ser prioridade pela primeira vez na história do Brasil. Eu sei porque sou professora. Eu sei que só a educação salva."
61,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,Tempo.
62,PRIMEIRO,Candidato,UNIÃO,Soraya Thronicke,"Sem falar, brasileiros, do valor da merenda que não foi atualizado. As nossas crianças, muitas delas têm somente a merenda escolar pra comer. É triste demais. Nossas crianças sequer, muitas delas, não têm banheiro nas escolas. Então, assim, é sério. Estamos vivendo o maior caos já visto na história desse país. Isso tem que mudar, e eu tô aqui pra contar a verdade pra vocês, porque eu tô aqui dentro, estou nos bastidores, e agora eu posso falar."
63,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Obrigada. Você está acompanhando o primeiro debate entre os candidatos à presidência da república realizado por um pool que reúne o Grupo Bandeirantes, o jornal Folha de S.Paulo, a TV Cultura e o UOL."
64,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,Essa foi a última resposta do primeiro bloco. Logo depois do intervalo é a vez de jornalistas das empresas que integram o pool perguntarem aos candidatos.
65,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Olho no voto, eleições 2022."
66,SEGUNDO,Imprensa,Band,Eduardo Oinegue,"Voltamos ao vivo com o primeiro debate das Eleições 2022 entre os candidatos à Presidência da República. O encontro é realizado por um pool que reúne a TV Cultura, o Grupo Bandeirantes, Folha de S.Paulo e o portal UOL, e está sendo transmitido pelas principais plataformas digitais e pela Band Internacional."
67,SEGUNDO,Imprensa,Band,Adriana Araújo,"Estamos ao vivo também no BandNews TV e nas rádios Bandeirantes e BandNews FM. Neste bloco, jornalistas das empresas que integram o pool fazem perguntas para os candidatos. Pelas regras definidas em comum acordo com os partidos, o jornalista escolhe um candidato para responder e outro para comentar."
68,SEGUNDO,Imprensa,Band,Eduardo Oinegue,"Os tempos são os mesmos do confronto anterior. O candidato que responde terá total de quatro minutos para administrar entre a resposta e a réplica, o comentário será de um minuto."
69,SEGUNDO,Imprensa,Band,Adriana Araújo,"Eu lembro que a ordem dos jornalistas para este bloco foi definida em sorteio entre os integrantes do pool. E quem faz a primeira pergunta, pela Band, é o jornalista Rodolfo Schneider. Por favor, Rodolfo, boa noite. Indica quem você vai perguntar e quem comenta."
70,SEGUNDO,Imprensa,Band,Rodolfo Schneider,"Boa noite. Minha pergunta é para o Presidente da República, candidato Jair Bolsonaro, e comentário do ex-presidente da República, e candidato, Lula. Um dos assuntos mais comentados nesse momento na nossa sala digital, em parceria com Google e YouTube na área de economia, é o Auxílio Emergencial. Acho que não se discute mais que o Brasil precisa de um programa de transferência de renda, seja Auxílio Brasil, Bolsa Família ou o nome que for. A minha pergunta é: Neste momento, aprovado até o final do ano, temos o auxílio a R$ 600, além de Auxílio Caminhoneiro e também Auxílio Taxista. No ano que vem, o orçamento prevê R$ 400, porém o presidente Bolsonaro e ex-Presidente já disseram que manteriam a R$ 600 esse valor. Mas de onde sairá esse dinheiro? Se romperá o teto de gastos? Retirará dinheiro de outros orçamentos de ministérios? Obrigado. Por favor, Bolsonaro, Presidente da República, e ex-Presidente Lula."
71,SEGUNDO,Candidato,PL,Jair Bolsonaro,"Até o ano passado era de R$ 192, em média. Nós passamos para 400, de forma definitiva, contra o voto do PT na Câmara. Ato contínuo, nós, nesse ano, por uma PEC, acrescentamos R$ 200 até o final do ano. Ou seja, no momento o Auxílio Brasil é de R$ 600. E nós vamos manter esse valor a partir do ano que vem. Logicamente, esse auxílio se aproxima do mínimo necessário para pessoa sobreviver, sair da linha da pobreza de forma mais concreta. Onde retirar dinheiro? Tenho acertado com a equipe econômica e conversado, dentro da responsabilidade fiscal. Quando, por exemplo, no ano passado passamos para R$ 400, ninguém acreditava. Nós conseguimos renegociar os precatórios, contra o voto do PT na Câmara, que para o PT, quanto pior estiver o povo, mais pobre, melhor é para eles fazerem política em cima disso. E, obviamente, quando se fala em Auxílio Emergencial para comprar alimentos, isso tem a ver com inflação. E nós conseguimos, no corrente ano, diminuir o teto do ICMS em todo Brasil, de forma que a gasolina, hoje, tem estados que já está abaixo de R$ 5. Tem estados também que o álcool, o etanol está abaixo de R$ 4. Contra o voto dos senadores do PT lá no Senado Federal. Como conseguir recursos? Não roubando, não metendo a mão no bolso do povo. O que é não roubar? Estatais, por exemplo. Nós podemos, está programado recursos das estatais irem para esse lado de cá do orçamento. Em governos anteriores, as estatais davam lucro muito baixo, ou até prejuízo. No nosso governo, o lucro está chegando à casa dos R$ 200 bilhões. E nós temos que deixar bem claro, quando se fala em orçamento como um todo, aumentando a arrecadação diminuindo impostos, como diminuímos o IPI por decreto. Como temos diminuído impostos de vários produtos, imposto de importação. Vários produtos. Ou seja, o governo está agindo na contramão do que sempre fizeram no passado. Por outro lado, muitas vezes, se fala em taxar grandes fortunas. Isso faz com que o capital vá embora. Ou seja, o nosso governo tem esse olhar, tem recurso, tem meios e fará com responsabilidade essa manutenção dos R$ 600."
72,SEGUNDO,Candidato,PT,Luiz Inácio Lula da Silva,"Bom, é importante lembrar que a manutenção dos R$ 600 não está na LDO, que foi mandada para o Congresso Nacional. Ou seja, significa que existe uma mentira no ar. Não está na LDO a manutenção de R$ 600. A segunda coisa que é inverdade, é que o PT, já faz dois anos que o PT tem reivindicado os R$ 600 no Bolsa Família, a bancada do PT votou favorável, porque a bancada do PT acha que o povo tem que receber efetivamente esse auxílio, mas é preciso que a gente faça essa política concomitante com a política de crescimento econômico, com a política de geração de emprego, de geração de oportunidade das pessoas. Coisa que não está pensado em nenhum momento. Então, o candidato, ele adora citar números absurdos que nem ele acredita... e saber o seguinte, já vendeu a Eletrobras, já vendeu a BR, tá fatiando a Petrobras, privatizou a BR..."
73,SEGUNDO,Imprensa,Band,Adriana Araújo,"Candidato Bolsonaro, o senhor tem um e trinta para a sua réplica."
74,SEGUNDO,Candidato,PL,Jair Bolsonaro,"Olha, o PT foi contra R$ 400 lá atrás. Votou, sim. Para de mentir. Está no teu DNA mentir e inventar números. No corrente ano, discursaram contra e votaram a favor. Questão de LDO: você resolve. Eu tenho contato com lideranças da Câmara. Após as eleições, podemos fazer algo mais concreto, mais detalhado para buscar recursos para pagar os R$ 600. Não podemos ser aqui inconsequentes, ficar anunciando ""vou dar isso, vou dar aquilo, vou tirar Imposto de Renda de professor"", não sei o quê lá. Só mentira. O orçamento é outra coisa. Temos um teto de gastos. E temos onde tirar recursos. Temos muita coisa planejada nesse tocante. Tenho certeza, os mais pobres, diferentemente do PT, lá atrás, por que o PT, lá atrás, não aumentou? Pagava uma miséria de Bolsa Família. Era uma miséria. Tinha gente que ganhava R$ 80 por mês. Família ganhando R$ 80 por mês; e nós, agora, entramos nessa área para valer. Está preocupado com votos. Apenas votos. Mas nada além disso. Mentindo sobre números. Lembra quando dizia que tinha 25 milhões de crianças abandonadas no Brasil e falou isso rindo, lá fora, do Brasil? Ou seja, nós temos ao nosso lado a verdade e a responsabilidade. Nunca tivemos tanto dinheiro de fora do Brasil investido aqui. Inclusive, em torno de 20% do nosso PIB. É um governo que está dando certo. A economia está bombando, e o Brasil está sendo exemplo para o mundo nessa área."
75,SEGUNDO,Imprensa,Band,Eduardo Oinegue,"Quem faz a próxima pergunta é a TV Cultura, com a jornalista Vera Magalhães. Vera, por favor, indica quem vai responder à sua pergunta e quem vai comentar, por favor."
76,SEGUNDO,Imprensa,Cultura,Vera Magalhães,"Boa noite a todos. Eu vou fazer uma pergunta ao candidato Ciro Gomes, com comentário do candidato Jair Bolsonaro. Candidato Ciro, a cobertura vacinal no Brasil vem despencando nos últimos anos. A cobertura para a vacinar tríplice viral, que protege contra sarampo e outras doenças, foi de 71%, em 2021, e ainda não chegou a 50% neste ano. A da poliomielite, que já chegou a ser de 96%, em 2012, caiu a índices um pouco superiores a 67%. Queria saber do senhor em que medida o senhor acha que a desinformação sobre vacinas, difundida inclusive pelo Presidente da República, pode ter contribuído, além de agravar a pandemia de Covid-19 e causar mortes que poderiam ter sido evitadas, também para desacreditar a população quanto à eficácia das vacinas em geral? E qual é a sua proposta para recuperar o Plano Nacional de Imunização, que já foi um orgulho nacional e uma referência para o mundo?"
77,SEGUNDO,Candidato,PDT,Ciro Gomes,"Vera, se você olhar o Brasil, tudo está fora do lugar. Mas é tudo mesmo está fora do lugar. É uma coisa que me choca ouvir o Presidente Bolsonaro dizer que a economia está bombando. Hoje, no Brasil, meu irmão? Vamos lá. Eu me emociono e quero segurar aqui a minha indignação. Mas espera um pouquinho, entre desalento, cinco milhões de brasileiros desistiram de procurar emprego. Entre desemprego aberto, que é o brasileiro que está indo de porta em porta, todo dia de manhã, pulando a catraca do ônibus porque não tem dinheiro para pagar passagem, e o trocador deixa, e volta para casa com a boca amarga: ""Não, não tem vaga, não tem vaga"", lá se vão mais dez milhões de brasileiros. Mas o que mais está me chocando, e vendo esse nível de alienação e de ódio, e de coisas assim, mentira para cá, mentira para lá... Isso é o Brasil que essa gente está produzindo, dividindo a nossa nação, e eu quero reconciliar. Espera um pouquinho, quase 50 milhões de pessoas não estão nos ouvindo nesse debate. Essa é a minha contradição. Eu falo por eles. Mas eles estão aí esfolados, vivendo na informalidade mais vil. Sabe o que é informalidade? Vou repetir para quem endureceu ou embruteceu o coração. Informalidade é uma jornada semanal de 50, 60 horas semanais, sem o descanso remunerado semanal para ir para o templo agradecer a Deus ou pedir luz. Sabe? Sem férias, sem 13 º. A saúde mental do nosso povo, Vera, está se deteriorando de um jeito? Nunca se pediu tanto, da rede de atenção psicossocial, remédios. Remédio para dormir, remédio para nervo. Mas sabe o que nós estamos produzindo? 50 milhões de brasileiros, em números redondos, vão envelhecer, daqui 15, 20 anos, Soraya, Senadora, e não vão ter cobertura à aposentadoria nenhuma. E aí, vamos lá, vacina. Isso é o trivial. Eu fui Governador, fui Prefeito de uma capital. Nossa meta era cumprir 100% da vacinação, e ganhamos prêmios internacionais. Fui ganhar prêmio de combate à mortalidade infantil, na ONU. Um dos elementos, foi que nós cobrimos 100% da população do Ceará. Havia campanha, esclarecimento, a vacina estava no tempo e na hora, bem acondicionada, bem transportada, era um grande mutirão. Sumiu tudo isso. É o desastre brasileiro por onde você queira considerar."
78,SEGUNDO,Candidato,PL,Jair Bolsonaro,"Vera, não podia esperar outra coisa de você. Acho que você dorme pensando em mim. Você tem alguma paixão por mim. Você não pode tomar partido em um debate como esse, fazer acusações mentirosas a meu respeito. Você é uma vergonha para o jornalismo brasileiro. Mas tudo bem [o presidente então se vira para Ciro Gomes, que havia falado com o microfone desligado]. Não pedi tua opinião."
79,SEGUNDO,Imprensa,Band,Adriana Araújo,"Por favor, candidatos. Por favor."
80,SEGUNDO,Candidato,PL,Jair Bolsonaro,"Já está apelando. A senhora falou uma frase, na CPI, seguinte, frase tua: ""Não é porque houve malversação de dinheiro público que devemos investigar"". A senhora foi conivente com a corrupção na CPI. Não achou nada contra mim. Escondeu Carlos Gabas. Escondeu Carlos Gabas, que desviou R$ 50 milhões e não foi investigado pela CPI. A senhora é uma vergonha no Senado Federal; e não estou atacando as mulheres, não. Não venha com essa historinha de atacar mulheres, de se vitimizar. Vera, você realmente foi fantástica, né? Deu oportunidade para falar um pouco de verdade sobre você."
81,SEGUNDO,Imprensa,Band,Eduardo Oinegue,"Candidato Ciro, sua réplica."
82,SEGUNDO,Candidato,PDT,Ciro Gomes,"É, vocês estão..."
83,SEGUNDO,Imprensa,Band,Eduardo Oinegue,Está registrado o pedido de direito de resposta.
